raceId,driverId,stop,lap,duration,milliseconds
851,1,4,52,500:31:12,20855
851,17,5,53,497:09:36,20715
851,22,5,52,614:18:14,25596
851,1,5,54,519:04:19,21628
851,808,4,53,518:36:58,21609
851,5,5,52,521:09:36,21715
851,16,4,53,516:04:19,21503
851,816,4,51,539:16:48,22470
851,3,4,54,557:51:22,23244
851,813,5,53,547:48:00,22825
851,24,5,51,538:59:31,22458
851,10,3,53,502:17:46,20929
851,1,6,56,316:09:07,13173
851,13,4,58,507:46:05,21157
851,155,3,62,510:11:31,21258
852,10,1,1,842:12:29,35092
852,811,1,1,739:04:48,30795
852,5,1,1,684:56:10,28539
852,17,1,3,504:21:36,21015
852,18,1,3,625:06:14,26046
852,30,1,4,483:40:19,20153
852,20,1,5,501:33:07,20898
852,815,1,5,626:12:29,26092
852,10,2,6,333:56:10,13914
852,4,1,8,503:51:22,20994
852,811,2,8,335:13:55,13968
852,13,1,9,534:24:29,22267
852,1,1,10,525:28:48,21895
852,3,1,11,554:09:36,23090
852,24,1,11,522:23:02,21766
852,808,1,12,513:28:48,21395
852,813,1,12,514:06:14,21421
852,20,2,13,513:51:50,21411
852,16,1,13,546:33:07,22773
852,22,1,13,523:37:55,21818
852,30,2,13,485:25:26,20226
852,18,2,13,522:08:38,21756
852,817,1,13,570:43:12,23780
852,15,1,13,531:48:58,22159
852,816,1,13,550:32:10,22939
852,5,2,13,528:12:58,22009
852,155,1,14,579:51:50,24161
852,814,1,14,512:00:58,21334
852,10,3,14,580:53:46,24204
852,811,3,21,498:08:38,20756
852,815,2,22,338:08:10,14089
852,815,3,23,573:11:31,23883
852,24,2,27,743:00:58,30959
852,4,2,29,509:49:55,21243
852,813,2,29,535:16:19,22303
852,155,2,29,510:27:22,21269
852,20,3,30,498:51:50,20786
852,3,2,30,508:06:14,21171
852,13,2,30,524:32:38,21856
852,808,2,30,527:29:46,21979
852,814,2,30,512:24:00,21350
852,17,2,31,502:43:41,20947
852,16,2,31,503:35:31,20983
852,30,3,31,511:39:22,21319
852,22,2,31,515:28:19,21478
852,15,2,31,515:36:58,21484
852,18,3,32,519:21:36,21640
852,13,3,32,515:38:24,21485
